page_id,page_title,rev_id,time
3880394,Temsa_Tourmalin,40007649,20140103014845
17463,Begrotingstekort,73591,20030726145912
1210259,Pierre_Prévert,11454953,20080228140238
5068563,SV_Poortugaal,51723449,20180601140625
4599861,Roze_Filmdagen,47175204,20160801232430
238611,Hockey_op_de_Olympische_Zomerspelen_1996,1833566,20050819203316
2546644,Lilia_Noeroetdinova,28266682,20111126134834
1024863,Big_Sandy_(Montana),9392348,20070918181038
996219,Horn_Hill,9244288,20070908172129
3046480,Gayle_&_Gillian_Blakeney,34767511,20130206153824
217330,Patrick_Vieira,1580307,20050715081545
2101545,Sint-Jans_en_Sint-Stevenskerk_der_Miniemen,24106126,20110123155132
4594276,Jean_Houston,47078021,20160713095325
4378608,Wereldkampioenschappen_zwemmen_2015_–_400_meter_wisselslag_vrouwen,44762907,20150824181539
688510,Salfit,5932807,20061128002618
4104322,Acanthocyclops,42822982,20141224141302
1007242,Ashton_(Illinois),9298400,20070912151126
4931948,Hassan_Bai_Kamara,50722526,20180106142401
1037122,Coquille_(plaats),9461291,20070923162815
1684487,Araripesaurus,17649859,20090723081913
1617987,Blauwestad_(dorp),16564592,20090425093720
2247875,Mad_Dog_II:_The_Lost_Gold,26311643,20110703101009
4747706,Alpens,48114720,20161204171737
1585571,Loverboy_(1989),16034000,20090314163559
3980166,G.B.F.,40966756,20140406103108
1693107,Indianapolis_500_in_1927,17789591,20090806043052
3995384,Mourir_d'aimer,41220504,20140504193839
4849774,Copa_Rio_1992,49762635,20170826085456
534714,12e_Dynastie_van_Egypte,4242996,20060609225533
2076795,Hermann_Glöckner,23669767,20101221145038
3871645,Nomura_Cup,39883094,20131223083204
3028147,Propere_Voeten,34318880,20130109221241
2329297,Louis_Welden_Hawkins,27477423,20111009210715
4744251,Facelina,48065691,20161126182318
560360,José_María_Cervera_Collado,4580842,20060709151256
1008151,Montgomery_(Illinois),9301136,20070912172253
1774809,Leningradski_(Tsjoekotka),18990407,20091116162121
1278182,Wereldkampioenschappen_kunstschaatsen_1948,12213627,20080501104940
5116943,Nicolas_Dupuis,52477105,20181018122544
908226,Dąbrowa_(gemeente_in_powiat_Mogileński),8352396,20070616153836
1895548,Slag_bij_Milliken's_Bend,20877675,20100422172633
44306,Padua_(stad),217698,20040303154610
1449781,Grimbert_Rost_van_Tonningen,14395604,20081102213014
2851661,Villaldemiro,31606122,20120622130132
2716368,Halve_marathon_van_Egmond_1982,28981032,20120108145555
1020821,Osceola_(Missouri),9375241,20070917182505
319400,Graanklander,2589886,20051214215839
4564210,Zakkur,46603187,20160427153757
1426183,Slag_bij_Saint_Louis,14102065,20081007134011
4031617,Ellen_Gulbranson,41749709,20140723102503
18443,Oedai_Hoessein,76727,20030805210940
4947602,The_Planetary_Society,50943802,20180210180641
346496,De_Rohan,2846536,20060111155739
4124304,Chendo,43046495,20150119133107
3977033,Van_Bihar_tot_Bangalore,40921414,20140331123042
1700526,Resolutie_1669_Veiligheidsraad_Verenigde_Naties,17919941,20090818172554
1048149,Falman-County_Acres,9553984,20070928203420
3751350,De_Oude_Graaf,38463102,20130711164015
1036132,Wapanucka,9449580,20070922195846
48375,Zevenhuizen_(Leek),232006,20040321203443
32004,Corona_(astronomie),142354,20031209100903
1293046,Geza_Teleki,12382111,20080516171429
4186049,Breaker_boy,43238879,20150206154930
1717719,GSG_Leo_Vroman,18259495,20090915194558
545845,Nefroblastoom,4408214,20060622100727
201326,Silent_Sentinels,1253872,20050615114335
4579011,Filip_Wypych,46825266,20160601214804
4739347,Jozef_van_Königsegg,47998447,20161115202814
4357020,Ivan_Šaponjić,44411840,20150624170508
248895,Archaeocyon,1973720,20050906193307
4779589,Retraitehuis_Schinnen,48586122,20170211223427
4768776,Aartsbisdom_Baltimore,48417623,20170117092039
2859776,Monseigneur_Nolensplein_(Venlo),31770556,20120706135937
696428,Rijcklof_van_Goens,6018208,20061206012553
2316013,Lijst_van_steden_en_dorpen_in_Estland,27291787,20110923170157
3969058,Vincent_De_Haître,40811025,20140317193046
11589,Polyurethaan,41368,20030510145414
1042263,Meatpacking_District,9500441,20070925195109
1533141,Tom_O'Horgan,15254143,20090114133701
2296511,GE_Capital,26972900,20110823213014
345882,Dinara_Safina,2842119,20060111055604
3017721,Kleine_suite_voor_kamerorkest,34113723,20121225120633
3980279,WTA-toernooi_van_Charleston_2014,40967860,20140406124337
1575101,Cyriel_Van_Overberghe,15829953,20090301191409
4386786,Albert_Cuypstraat_2-6,44895975,20150914133451
127445,Rio_Grande_do_Norte,758700,20050123133828
4419076,Archeometallurgie,45415642,20151128050803
3407622,Hans_Henrik_Andreasen,36953408,20130406083942
3912361,Michel_Simon,40460314,20140213165928
